apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,1095.04
sp,16,802.3ad-4NICs-layer2,1107.3
sp,16,802.3ad-4NICs-layer2,1096.75
sp,16,802.3ad-4NICs-layer2,1086.22
sp,16,802.3ad-4NICs-layer2,1092.53
sp,16,802.3ad-4NICs-layer2,1093.89
sp,16,802.3ad-4NICs-layer2,1101.76
sp,16,802.3ad-4NICs-layer2,1102.58
sp,16,802.3ad-4NICs-layer2,1066.97
sp,16,802.3ad-4NICs-layer2,1089.37
sp,16,802.3ad-4NICs-layer2,1064.7
sp,16,802.3ad-4NICs-layer2,1093.76
sp,16,802.3ad-4NICs-layer2,1101.71
sp,16,802.3ad-4NICs-layer2,1097.64
sp,16,802.3ad-4NICs-layer2,1093.94
sp,16,802.3ad-4NICs-layer2,1077.73
sp,16,802.3ad-4NICs-layer2,1099.08
sp,16,802.3ad-4NICs-layer2,1090.04
sp,16,802.3ad-4NICs-layer2,1101.16
sp,16,802.3ad-4NICs-layer2,1107.6
sp,16,802.3ad-4NICs-layer2,1095.81
sp,16,802.3ad-4NICs-layer2,1104.21
sp,16,802.3ad-4NICs-layer2,1100.63
sp,16,802.3ad-4NICs-layer2,1088.13
sp,16,802.3ad-4NICs-layer2,1084.39
sp,16,802.3ad-4NICs-layer2,1104.46
sp,16,802.3ad-4NICs-layer2,1104.68
sp,16,802.3ad-4NICs-layer2,1094.7
sp,16,802.3ad-4NICs-layer2,1097.4
sp,16,802.3ad-4NICs-layer2,1097.17
