apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2-4,28.84
is,16,802.3ad-4NICs-layer2-4,25.25
is,16,802.3ad-4NICs-layer2-4,27.78
is,16,802.3ad-4NICs-layer2-4,26.89
is,16,802.3ad-4NICs-layer2-4,26.68
is,16,802.3ad-4NICs-layer2-4,25.29
is,16,802.3ad-4NICs-layer2-4,30.84
is,16,802.3ad-4NICs-layer2-4,28.4
is,16,802.3ad-4NICs-layer2-4,29.81
is,16,802.3ad-4NICs-layer2-4,29.89
ft,16,802.3ad-4NICs-layer2-4,278.16
ft,16,802.3ad-4NICs-layer2-4,288.76
ft,16,802.3ad-4NICs-layer2-4,281.45
ft,16,802.3ad-4NICs-layer2-4,267.41
ft,16,802.3ad-4NICs-layer2-4,255.21
ft,16,802.3ad-4NICs-layer2-4,275.97
ft,16,802.3ad-4NICs-layer2-4,272.12
ft,16,802.3ad-4NICs-layer2-4,281.63
ft,16,802.3ad-4NICs-layer2-4,290.67
ft,16,802.3ad-4NICs-layer2-4,280.25
is,16,802.3ad-4NICs-layer2-4,33.27
is,16,802.3ad-4NICs-layer2-4,30.76
is,16,802.3ad-4NICs-layer2-4,28.83
is,16,802.3ad-4NICs-layer2-4,29.77
is,16,802.3ad-4NICs-layer2-4,30.09
is,16,802.3ad-4NICs-layer2-4,30.76
is,16,802.3ad-4NICs-layer2-4,31.38
is,16,802.3ad-4NICs-layer2-4,31.92
is,16,802.3ad-4NICs-layer2-4,30.04
is,16,802.3ad-4NICs-layer2-4,31.32
ft,16,802.3ad-4NICs-layer2-4,246.74
ft,16,802.3ad-4NICs-layer2-4,239.85
ft,16,802.3ad-4NICs-layer2-4,236.08
ft,16,802.3ad-4NICs-layer2-4,239.75
ft,16,802.3ad-4NICs-layer2-4,240.04
ft,16,802.3ad-4NICs-layer2-4,234.68
ft,16,802.3ad-4NICs-layer2-4,246.59
ft,16,802.3ad-4NICs-layer2-4,243.34
ft,16,802.3ad-4NICs-layer2-4,244.3
ft,16,802.3ad-4NICs-layer2-4,245.77
bt,16,802.3ad-4NICs-layer2-4,463.87
bt,16,802.3ad-4NICs-layer2-4,457.15
bt,16,802.3ad-4NICs-layer2-4,456.91
bt,16,802.3ad-4NICs-layer2-4,455.61
bt,16,802.3ad-4NICs-layer2-4,454.5
bt,16,802.3ad-4NICs-layer2-4,463.96
bt,16,802.3ad-4NICs-layer2-4,455.03
bt,16,802.3ad-4NICs-layer2-4,447.83
bt,16,802.3ad-4NICs-layer2-4,457.03
bt,16,802.3ad-4NICs-layer2-4,455.69
sp,16,802.3ad-4NICs-layer2-4,529.39
sp,16,802.3ad-4NICs-layer2-4,532.06
sp,16,802.3ad-4NICs-layer2-4,511.28
sp,16,802.3ad-4NICs-layer2-4,525.75
sp,16,802.3ad-4NICs-layer2-4,527.28
sp,16,802.3ad-4NICs-layer2-4,521.91
sp,16,802.3ad-4NICs-layer2-4,510.38
sp,16,802.3ad-4NICs-layer2-4,525.51
sp,16,802.3ad-4NICs-layer2-4,523.13
sp,16,802.3ad-4NICs-layer2-4,522.93
bt,16,802.3ad-4NICs-layer2-4,501.23
bt,16,802.3ad-4NICs-layer2-4,507.64
bt,16,802.3ad-4NICs-layer2-4,500.37
bt,16,802.3ad-4NICs-layer2-4,505.46
bt,16,802.3ad-4NICs-layer2-4,506.66
bt,16,802.3ad-4NICs-layer2-4,513.31
bt,16,802.3ad-4NICs-layer2-4,505.78
bt,16,802.3ad-4NICs-layer2-4,515.08
bt,16,802.3ad-4NICs-layer2-4,512.88
bt,16,802.3ad-4NICs-layer2-4,497.13
sp,16,802.3ad-4NICs-layer2-4,629.16
sp,16,802.3ad-4NICs-layer2-4,646.81
sp,16,802.3ad-4NICs-layer2-4,634.96
