apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,428.05
bt,16,802.3ad-4NICs-layer2,456.08
bt,16,802.3ad-4NICs-layer2,425.41
bt,16,802.3ad-4NICs-layer2,429.97
bt,16,802.3ad-4NICs-layer2,423.89
bt,16,802.3ad-4NICs-layer2,428.85
bt,16,802.3ad-4NICs-layer2,430.37
bt,16,802.3ad-4NICs-layer2,420.38
bt,16,802.3ad-4NICs-layer2,430.99
bt,16,802.3ad-4NICs-layer2,429.25
bt,16,802.3ad-4NICs-layer2,442.7
bt,16,802.3ad-4NICs-layer2,452.29
bt,16,802.3ad-4NICs-layer2,437.62
bt,16,802.3ad-4NICs-layer2,426.58
bt,16,802.3ad-4NICs-layer2,417.96
bt,16,802.3ad-4NICs-layer2,430.68
bt,16,802.3ad-4NICs-layer2,432.81
bt,16,802.3ad-4NICs-layer2,425.01
bt,16,802.3ad-4NICs-layer2,430.63
bt,16,802.3ad-4NICs-layer2,426.17
bt,16,802.3ad-4NICs-layer2,424.01
bt,16,802.3ad-4NICs-layer2,434.63
bt,16,802.3ad-4NICs-layer2,426.97
bt,16,802.3ad-4NICs-layer2,424.1
bt,16,802.3ad-4NICs-layer2,425.09
bt,16,802.3ad-4NICs-layer2,416.18
bt,16,802.3ad-4NICs-layer2,429.33
bt,16,802.3ad-4NICs-layer2,423.23
bt,16,802.3ad-4NICs-layer2,416.3
bt,16,802.3ad-4NICs-layer2,420.86
