apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,451.41
bt,16,802.3ad-4NICs-layer2,439.63
bt,16,802.3ad-4NICs-layer2,408.47
bt,16,802.3ad-4NICs-layer2,438.34
bt,16,802.3ad-4NICs-layer2,442.81
bt,16,802.3ad-4NICs-layer2,450.82
bt,16,802.3ad-4NICs-layer2,452.63
bt,16,802.3ad-4NICs-layer2,463.86
bt,16,802.3ad-4NICs-layer2,434.1
bt,16,802.3ad-4NICs-layer2,443.6
bt,16,802.3ad-4NICs-layer2,436.65
bt,16,802.3ad-4NICs-layer2,442.76
bt,16,802.3ad-4NICs-layer2,450.81
bt,16,802.3ad-4NICs-layer2,445.22
bt,16,802.3ad-4NICs-layer2,433.28
bt,16,802.3ad-4NICs-layer2,445.27
bt,16,802.3ad-4NICs-layer2,448.84
bt,16,802.3ad-4NICs-layer2,454.84
bt,16,802.3ad-4NICs-layer2,439.89
bt,16,802.3ad-4NICs-layer2,451.06
bt,16,802.3ad-4NICs-layer2,458.52
bt,16,802.3ad-4NICs-layer2,450.7
bt,16,802.3ad-4NICs-layer2,453.6
bt,16,802.3ad-4NICs-layer2,410.92
bt,16,802.3ad-4NICs-layer2,529.63
bt,16,802.3ad-4NICs-layer2,443.85
bt,16,802.3ad-4NICs-layer2,447.58
bt,16,802.3ad-4NICs-layer2,440.58
bt,16,802.3ad-4NICs-layer2,450.58
bt,16,802.3ad-4NICs-layer2,448.28
