apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,427.79
bt,16,802.3ad-4NICs-layer2,436.53
bt,16,802.3ad-4NICs-layer2,436.72
bt,16,802.3ad-4NICs-layer2,426.72
bt,16,802.3ad-4NICs-layer2,435.02
bt,16,802.3ad-4NICs-layer2,424.7
bt,16,802.3ad-4NICs-layer2,438
bt,16,802.3ad-4NICs-layer2,437.25
bt,16,802.3ad-4NICs-layer2,439.94
bt,16,802.3ad-4NICs-layer2,437.24
bt,16,802.3ad-4NICs-layer2,436.89
bt,16,802.3ad-4NICs-layer2,704.89
bt,16,802.3ad-4NICs-layer2,1112.72
bt,16,802.3ad-4NICs-layer2,1943.91
bt,16,802.3ad-4NICs-layer2,1106.22
bt,16,802.3ad-4NICs-layer2,1153.31
bt,16,802.3ad-4NICs-layer2,2009.63
bt,16,802.3ad-4NICs-layer2,1093.45
bt,16,802.3ad-4NICs-layer2,1113.16
bt,16,802.3ad-4NICs-layer2,1974.14
bt,16,802.3ad-4NICs-layer2,1143.81
bt,16,802.3ad-4NICs-layer2,1172.76
bt,16,802.3ad-4NICs-layer2,1141.2
bt,16,802.3ad-4NICs-layer2,1119.5
bt,16,802.3ad-4NICs-layer2,1973.68
bt,16,802.3ad-4NICs-layer2,1142.37
bt,16,802.3ad-4NICs-layer2,1162.86
bt,16,802.3ad-4NICs-layer2,1082.8
bt,16,802.3ad-4NICs-layer2,1089.21
bt,16,802.3ad-4NICs-layer2,1088.86
