apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,485.57
bt,16,802.3ad-4NICs-layer2,481.62
bt,16,802.3ad-4NICs-layer2,488.59
bt,16,802.3ad-4NICs-layer2,502.86
bt,16,802.3ad-4NICs-layer2,488.34
bt,16,802.3ad-4NICs-layer2,484.74
bt,16,802.3ad-4NICs-layer2,462.41
bt,16,802.3ad-4NICs-layer2,449.33
bt,16,802.3ad-4NICs-layer2,443.36
bt,16,802.3ad-4NICs-layer2,475.57
bt,16,802.3ad-4NICs-layer2,460.12
bt,16,802.3ad-4NICs-layer2,486.55
bt,16,802.3ad-4NICs-layer2,487.82
bt,16,802.3ad-4NICs-layer2,462.52
bt,16,802.3ad-4NICs-layer2,461.64
bt,16,802.3ad-4NICs-layer2,485.39
bt,16,802.3ad-4NICs-layer2,491
bt,16,802.3ad-4NICs-layer2,479.14
bt,16,802.3ad-4NICs-layer2,481.93
bt,16,802.3ad-4NICs-layer2,453.21
bt,16,802.3ad-4NICs-layer2,486.84
bt,16,802.3ad-4NICs-layer2,494.43
bt,16,802.3ad-4NICs-layer2,467.61
bt,16,802.3ad-4NICs-layer2,482.47
bt,16,802.3ad-4NICs-layer2,476.31
bt,16,802.3ad-4NICs-layer2,466.56
bt,16,802.3ad-4NICs-layer2,468.95
bt,16,802.3ad-4NICs-layer2,482.05
bt,16,802.3ad-4NICs-layer2,476.42
bt,16,802.3ad-4NICs-layer2,490.33
