apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2,231.34
ft,16,802.3ad-4NICs-layer2,231.95
ft,16,802.3ad-4NICs-layer2,250.96
ft,16,802.3ad-4NICs-layer2,248.73
ft,16,802.3ad-4NICs-layer2,240.16
ft,16,802.3ad-4NICs-layer2,243.33
ft,16,802.3ad-4NICs-layer2,240.79
ft,16,802.3ad-4NICs-layer2,257.89
ft,16,802.3ad-4NICs-layer2,249.19
ft,16,802.3ad-4NICs-layer2,271.6
ft,16,802.3ad-4NICs-layer2,246.29
ft,16,802.3ad-4NICs-layer2,238.05
ft,16,802.3ad-4NICs-layer2,241.06
ft,16,802.3ad-4NICs-layer2,233.07
ft,16,802.3ad-4NICs-layer2,238
ft,16,802.3ad-4NICs-layer2,231.08
ft,16,802.3ad-4NICs-layer2,249.02
ft,16,802.3ad-4NICs-layer2,239.89
ft,16,802.3ad-4NICs-layer2,245.09
ft,16,802.3ad-4NICs-layer2,228.86
ft,16,802.3ad-4NICs-layer2,240.81
ft,16,802.3ad-4NICs-layer2,237.55
ft,16,802.3ad-4NICs-layer2,242
ft,16,802.3ad-4NICs-layer2,237.82
ft,16,802.3ad-4NICs-layer2,260.17
ft,16,802.3ad-4NICs-layer2,233.53
ft,16,802.3ad-4NICs-layer2,250.37
ft,16,802.3ad-4NICs-layer2,242.2
ft,16,802.3ad-4NICs-layer2,245.39
ft,16,802.3ad-4NICs-layer2,238.06
