apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2,228.71
ft,16,802.3ad-4NICs-layer2,228.63
ft,16,802.3ad-4NICs-layer2,225.54
ft,16,802.3ad-4NICs-layer2,232.97
ft,16,802.3ad-4NICs-layer2,260.04
ft,16,802.3ad-4NICs-layer2,230.21
ft,16,802.3ad-4NICs-layer2,233.24
ft,16,802.3ad-4NICs-layer2,236.24
ft,16,802.3ad-4NICs-layer2,229.51
ft,16,802.3ad-4NICs-layer2,227.74
ft,16,802.3ad-4NICs-layer2,229.11
ft,16,802.3ad-4NICs-layer2,229.56
ft,16,802.3ad-4NICs-layer2,234.2
ft,16,802.3ad-4NICs-layer2,245.09
ft,16,802.3ad-4NICs-layer2,221.73
ft,16,802.3ad-4NICs-layer2,236.18
ft,16,802.3ad-4NICs-layer2,225.36
ft,16,802.3ad-4NICs-layer2,223.31
ft,16,802.3ad-4NICs-layer2,239.91
ft,16,802.3ad-4NICs-layer2,237.4
ft,16,802.3ad-4NICs-layer2,221.59
ft,16,802.3ad-4NICs-layer2,231.12
ft,16,802.3ad-4NICs-layer2,228.29
ft,16,802.3ad-4NICs-layer2,231.24
ft,16,802.3ad-4NICs-layer2,235.48
ft,16,802.3ad-4NICs-layer2,237.09
ft,16,802.3ad-4NICs-layer2,225.64
ft,16,802.3ad-4NICs-layer2,237.6
ft,16,802.3ad-4NICs-layer2,231.57
ft,16,802.3ad-4NICs-layer2,233.73
