apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,28.64
is,16,802.3ad-4NICs-layer2,30.18
is,16,802.3ad-4NICs-layer2,30.9
is,16,802.3ad-4NICs-layer2,28.52
is,16,802.3ad-4NICs-layer2,29.24
is,16,802.3ad-4NICs-layer2,28.11
is,16,802.3ad-4NICs-layer2,29.64
is,16,802.3ad-4NICs-layer2,27.34
is,16,802.3ad-4NICs-layer2,27.09
is,16,802.3ad-4NICs-layer2,29.48
is,16,802.3ad-4NICs-layer2,29.06
is,16,802.3ad-4NICs-layer2,27.58
is,16,802.3ad-4NICs-layer2,28.53
is,16,802.3ad-4NICs-layer2,28.85
is,16,802.3ad-4NICs-layer2,29.7
is,16,802.3ad-4NICs-layer2,29.82
is,16,802.3ad-4NICs-layer2,28.05
is,16,802.3ad-4NICs-layer2,28.74
is,16,802.3ad-4NICs-layer2,29.86
is,16,802.3ad-4NICs-layer2,27.78
is,16,802.3ad-4NICs-layer2,31.69
is,16,802.3ad-4NICs-layer2,30.41
is,16,802.3ad-4NICs-layer2,30.12
is,16,802.3ad-4NICs-layer2,30.62
is,16,802.3ad-4NICs-layer2,28.99
is,16,802.3ad-4NICs-layer2,27.05
is,16,802.3ad-4NICs-layer2,28.4
is,16,802.3ad-4NICs-layer2,28.56
is,16,802.3ad-4NICs-layer2,28.4
is,16,802.3ad-4NICs-layer2,26.46
