apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,26.18
is,16,802.3ad-4NICs-layer2,27.47
is,16,802.3ad-4NICs-layer2,30.49
is,16,802.3ad-4NICs-layer2,28.48
is,16,802.3ad-4NICs-layer2,27.07
is,16,802.3ad-4NICs-layer2,25.98
is,16,802.3ad-4NICs-layer2,26.78
is,16,802.3ad-4NICs-layer2,27.89
is,16,802.3ad-4NICs-layer2,27.04
is,16,802.3ad-4NICs-layer2,26.44
is,16,802.3ad-4NICs-layer2,27.96
is,16,802.3ad-4NICs-layer2,24.82
is,16,802.3ad-4NICs-layer2,28.1
is,16,802.3ad-4NICs-layer2,24
is,16,802.3ad-4NICs-layer2,28.73
is,16,802.3ad-4NICs-layer2,27.25
is,16,802.3ad-4NICs-layer2,27.74
is,16,802.3ad-4NICs-layer2,28.71
is,16,802.3ad-4NICs-layer2,26.11
is,16,802.3ad-4NICs-layer2,27.35
is,16,802.3ad-4NICs-layer2,27.96
is,16,802.3ad-4NICs-layer2,26.08
is,16,802.3ad-4NICs-layer2,26.75
is,16,802.3ad-4NICs-layer2,26.6
is,16,802.3ad-4NICs-layer2,26.78
is,16,802.3ad-4NICs-layer2,27.91
is,16,802.3ad-4NICs-layer2,26.63
is,16,802.3ad-4NICs-layer2,27.87
is,16,802.3ad-4NICs-layer2,27.42
is,16,802.3ad-4NICs-layer2,26.29
