apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,478.35
sp,16,802.3ad-4NICs-layer2,476.86
sp,16,802.3ad-4NICs-layer2,486.36
sp,16,802.3ad-4NICs-layer2,473.62
sp,16,802.3ad-4NICs-layer2,517.16
sp,16,802.3ad-4NICs-layer2,493.25
sp,16,802.3ad-4NICs-layer2,448.5
sp,16,802.3ad-4NICs-layer2,481.66
sp,16,802.3ad-4NICs-layer2,489.23
sp,16,802.3ad-4NICs-layer2,479.35
sp,16,802.3ad-4NICs-layer2,490.87
sp,16,802.3ad-4NICs-layer2,497.44
sp,16,802.3ad-4NICs-layer2,488.95
sp,16,802.3ad-4NICs-layer2,471.43
sp,16,802.3ad-4NICs-layer2,480.4
sp,16,802.3ad-4NICs-layer2,479.5
sp,16,802.3ad-4NICs-layer2,482.97
sp,16,802.3ad-4NICs-layer2,491.59
sp,16,802.3ad-4NICs-layer2,491.37
sp,16,802.3ad-4NICs-layer2,470.13
sp,16,802.3ad-4NICs-layer2,489.26
sp,16,802.3ad-4NICs-layer2,467.52
sp,16,802.3ad-4NICs-layer2,495.47
sp,16,802.3ad-4NICs-layer2,493.72
sp,16,802.3ad-4NICs-layer2,475.45
sp,16,802.3ad-4NICs-layer2,458.52
sp,16,802.3ad-4NICs-layer2,459.48
sp,16,802.3ad-4NICs-layer2,474.29
sp,16,802.3ad-4NICs-layer2,476.11
sp,16,802.3ad-4NICs-layer2,469.23
