apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,511.15
sp,16,802.3ad-4NICs-layer2,505.58
sp,16,802.3ad-4NICs-layer2,491.73
sp,16,802.3ad-4NICs-layer2,510.41
sp,16,802.3ad-4NICs-layer2,505.66
sp,16,802.3ad-4NICs-layer2,484.36
sp,16,802.3ad-4NICs-layer2,502.59
sp,16,802.3ad-4NICs-layer2,487.3
sp,16,802.3ad-4NICs-layer2,478.47
sp,16,802.3ad-4NICs-layer2,501.82
sp,16,802.3ad-4NICs-layer2,523.19
sp,16,802.3ad-4NICs-layer2,497.35
sp,16,802.3ad-4NICs-layer2,501.43
sp,16,802.3ad-4NICs-layer2,518.02
sp,16,802.3ad-4NICs-layer2,506.92
sp,16,802.3ad-4NICs-layer2,516.75
sp,16,802.3ad-4NICs-layer2,496.38
sp,16,802.3ad-4NICs-layer2,514.25
sp,16,802.3ad-4NICs-layer2,515.04
sp,16,802.3ad-4NICs-layer2,512.83
sp,16,802.3ad-4NICs-layer2,511.88
sp,16,802.3ad-4NICs-layer2,511.67
sp,16,802.3ad-4NICs-layer2,507.69
sp,16,802.3ad-4NICs-layer2,496.66
sp,16,802.3ad-4NICs-layer2,503.79
sp,16,802.3ad-4NICs-layer2,505.03
sp,16,802.3ad-4NICs-layer2,476.96
sp,16,802.3ad-4NICs-layer2,510.79
sp,16,802.3ad-4NICs-layer2,498.61
sp,16,802.3ad-4NICs-layer2,484.87
