apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,1028.17
sp,16,802.3ad-4NICs-layer2,921.8
sp,16,802.3ad-4NICs-layer2,1883.44
sp,16,802.3ad-4NICs-layer2,1896.17
sp,16,802.3ad-4NICs-layer2,1809.74
sp,16,802.3ad-4NICs-layer2,1875.87
sp,16,802.3ad-4NICs-layer2,1837.18
sp,16,802.3ad-4NICs-layer2,1877.26
sp,16,802.3ad-4NICs-layer2,1021.66
sp,16,802.3ad-4NICs-layer2,1587.74
sp,16,802.3ad-4NICs-layer2,483.65
sp,16,802.3ad-4NICs-layer2,484.85
sp,16,802.3ad-4NICs-layer2,472.49
sp,16,802.3ad-4NICs-layer2,473.34
sp,16,802.3ad-4NICs-layer2,488.54
sp,16,802.3ad-4NICs-layer2,467.73
sp,16,802.3ad-4NICs-layer2,478.1
sp,16,802.3ad-4NICs-layer2,478.18
sp,16,802.3ad-4NICs-layer2,470.75
sp,16,802.3ad-4NICs-layer2,451.88
sp,16,802.3ad-4NICs-layer2,467.73
sp,16,802.3ad-4NICs-layer2,451.62
sp,16,802.3ad-4NICs-layer2,461.05
sp,16,802.3ad-4NICs-layer2,487.55
sp,16,802.3ad-4NICs-layer2,468.92
sp,16,802.3ad-4NICs-layer2,480.56
sp,16,802.3ad-4NICs-layer2,456.61
sp,16,802.3ad-4NICs-layer2,469.38
sp,16,802.3ad-4NICs-layer2,476.91
sp,16,802.3ad-4NICs-layer2,450.61
