apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,612.61
sp,16,802.3ad-4NICs-layer2,576.32
sp,16,802.3ad-4NICs-layer2,607.75
sp,16,802.3ad-4NICs-layer2,556.96
sp,16,802.3ad-4NICs-layer2,560.86
sp,16,802.3ad-4NICs-layer2,587.6
sp,16,802.3ad-4NICs-layer2,577.3
sp,16,802.3ad-4NICs-layer2,581.79
sp,16,802.3ad-4NICs-layer2,593.33
sp,16,802.3ad-4NICs-layer2,597.7
sp,16,802.3ad-4NICs-layer2,574.11
sp,16,802.3ad-4NICs-layer2,616.14
sp,16,802.3ad-4NICs-layer2,587.93
sp,16,802.3ad-4NICs-layer2,594.67
sp,16,802.3ad-4NICs-layer2,619.78
sp,16,802.3ad-4NICs-layer2,582.81
sp,16,802.3ad-4NICs-layer2,588.3
sp,16,802.3ad-4NICs-layer2,590.43
sp,16,802.3ad-4NICs-layer2,594.03
sp,16,802.3ad-4NICs-layer2,572.18
sp,16,802.3ad-4NICs-layer2,586.01
sp,16,802.3ad-4NICs-layer2,593.18
sp,16,802.3ad-4NICs-layer2,591.44
sp,16,802.3ad-4NICs-layer2,569.71
sp,16,802.3ad-4NICs-layer2,587.72
sp,16,802.3ad-4NICs-layer2,589.53
sp,16,802.3ad-4NICs-layer2,588.78
sp,16,802.3ad-4NICs-layer2,591.16
sp,16,802.3ad-4NICs-layer2,581.09
sp,16,802.3ad-4NICs-layer2,586.56
