apps,process,bondmode,time
is,64,802.3ad-4NICs-layer2,45.87
is,64,802.3ad-4NICs-layer2,47.11
is,64,802.3ad-4NICs-layer2,45.26
is,64,802.3ad-4NICs-layer2,44.08
is,64,802.3ad-4NICs-layer2,44.99
is,64,802.3ad-4NICs-layer2,47.20
is,64,802.3ad-4NICs-layer2,46.57
is,64,802.3ad-4NICs-layer2,46.51
is,64,802.3ad-4NICs-layer2,44.31
is,64,802.3ad-4NICs-layer2,45.48
is,64,802.3ad-4NICs-layer2,47.27
is,64,802.3ad-4NICs-layer2,46.61
is,64,802.3ad-4NICs-layer2,46.14
is,64,802.3ad-4NICs-layer2,47.47
is,64,802.3ad-4NICs-layer2,46.49
is,64,802.3ad-4NICs-layer2,45.01
is,64,802.3ad-4NICs-layer2,46.40
is,64,802.3ad-4NICs-layer2,44.65
is,64,802.3ad-4NICs-layer2,45.82
is,64,802.3ad-4NICs-layer2,46.48
is,64,802.3ad-4NICs-layer2,45.88
is,64,802.3ad-4NICs-layer2,45.82
is,64,802.3ad-4NICs-layer2,43.16
is,64,802.3ad-4NICs-layer2,47.16
is,64,802.3ad-4NICs-layer2,44.14
is,64,802.3ad-4NICs-layer2,44.00
is,64,802.3ad-4NICs-layer2,46.17
is,64,802.3ad-4NICs-layer2,47.52
is,64,802.3ad-4NICs-layer2,44.25
is,64,802.3ad-4NICs-layer2,46.08
ft,64,802.3ad-4NICs-layer2,266.96
ft,64,802.3ad-4NICs-layer2,289.57
ft,64,802.3ad-4NICs-layer2,270.14
ft,64,802.3ad-4NICs-layer2,271.16
ft,64,802.3ad-4NICs-layer2,262.73
ft,64,802.3ad-4NICs-layer2,283.30
ft,64,802.3ad-4NICs-layer2,282.70
ft,64,802.3ad-4NICs-layer2,287.48
ft,64,802.3ad-4NICs-layer2,263.69
ft,64,802.3ad-4NICs-layer2,272.65
ft,64,802.3ad-4NICs-layer2,326.35
ft,64,802.3ad-4NICs-layer2,347.28
ft,64,802.3ad-4NICs-layer2,352.65
ft,64,802.3ad-4NICs-layer2,366.81
ft,64,802.3ad-4NICs-layer2,313.33
ft,64,802.3ad-4NICs-layer2,286.94
ft,64,802.3ad-4NICs-layer2,256.81
ft,64,802.3ad-4NICs-layer2,255.51
ft,64,802.3ad-4NICs-layer2,256.18
ft,64,802.3ad-4NICs-layer2,271.04
ft,64,802.3ad-4NICs-layer2,298.01
ft,64,802.3ad-4NICs-layer2,315.78
ft,64,802.3ad-4NICs-layer2,316.34
ft,64,802.3ad-4NICs-layer2,343.87
ft,64,802.3ad-4NICs-layer2,287.30
ft,64,802.3ad-4NICs-layer2,267.24
ft,64,802.3ad-4NICs-layer2,271.91
ft,64,802.3ad-4NICs-layer2,268.74
ft,64,802.3ad-4NICs-layer2,260.32
ft,64,802.3ad-4NICs-layer2,249.75
is,64,802.3ad-4NICs-layer2,49.28
is,64,802.3ad-4NICs-layer2,53.75
is,64,802.3ad-4NICs-layer2,55.97
is,64,802.3ad-4NICs-layer2,51.54
is,64,802.3ad-4NICs-layer2,53.71
is,64,802.3ad-4NICs-layer2,55.78
is,64,802.3ad-4NICs-layer2,55.51
is,64,802.3ad-4NICs-layer2,56.52
is,64,802.3ad-4NICs-layer2,49.84
is,64,802.3ad-4NICs-layer2,53.13
is,64,802.3ad-4NICs-layer2,51.10
is,64,802.3ad-4NICs-layer2,53.85
is,64,802.3ad-4NICs-layer2,53.13
is,64,802.3ad-4NICs-layer2,52.16
is,64,802.3ad-4NICs-layer2,57.51
is,64,802.3ad-4NICs-layer2,53.36
is,64,802.3ad-4NICs-layer2,52.33
is,64,802.3ad-4NICs-layer2,48.32
is,64,802.3ad-4NICs-layer2,50.96
is,64,802.3ad-4NICs-layer2,53.78
is,64,802.3ad-4NICs-layer2,52.46
is,64,802.3ad-4NICs-layer2,63.22
is,64,802.3ad-4NICs-layer2,55.12
is,64,802.3ad-4NICs-layer2,56.39
is,64,802.3ad-4NICs-layer2,50.90
is,64,802.3ad-4NICs-layer2,53.78
