apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-4NICs-layer2,0,25.14,0.00
intel,802.3ad-4NICs-layer2,1,26.06,0.04
intel,802.3ad-4NICs-layer2,2,25.89,0.08
intel,802.3ad-4NICs-layer2,4,25.77,0.16
intel,802.3ad-4NICs-layer2,8,25.83,0.31
intel,802.3ad-4NICs-layer2,16,26.11,0.61
intel,802.3ad-4NICs-layer2,32,26.10,1.23
intel,802.3ad-4NICs-layer2,64,19.32,3.31
intel,802.3ad-4NICs-layer2,128,19.82,6.46
intel,802.3ad-4NICs-layer2,256,19.75,12.96
intel,802.3ad-4NICs-layer2,512,20.17,25.39
intel,802.3ad-4NICs-layer2,1024,29.93,34.22
intel,802.3ad-4NICs-layer2,2048,31.47,65.07
intel,802.3ad-4NICs-layer2,4096,39.06,104.88
intel,802.3ad-4NICs-layer2,8192,45.36,180.60
intel,802.3ad-4NICs-layer2,16384,66.88,244.97
intel,802.3ad-4NICs-layer2,32768,113.31,289.19
intel,802.3ad-4NICs-layer2,65536,112.47,582.69
intel,802.3ad-4NICs-layer2,131072,165.46,792.15
intel,802.3ad-4NICs-layer2,262144,256.79,1020.85
intel,802.3ad-4NICs-layer2,524288,432.16,1213.17
intel,802.3ad-4NICs-layer2,1048576,785.85,1334.32
intel,802.3ad-4NICs-layer2,2097152,1618.63,1295.64
intel,802.3ad-4NICs-layer2,4194304,3216.66,1303.93
intel,802.3ad-4NICs-layer2,0,26.07,0.00
intel,802.3ad-4NICs-layer2,1,26.70,0.04
intel,802.3ad-4NICs-layer2,2,26.90,0.07
intel,802.3ad-4NICs-layer2,4,26.71,0.15
intel,802.3ad-4NICs-layer2,8,26.88,0.30
intel,802.3ad-4NICs-layer2,16,26.72,0.60
intel,802.3ad-4NICs-layer2,32,26.74,1.20
intel,802.3ad-4NICs-layer2,64,27.05,2.37
intel,802.3ad-4NICs-layer2,128,27.39,4.67
intel,802.3ad-4NICs-layer2,256,27.55,9.29
intel,802.3ad-4NICs-layer2,512,28.31,18.09
intel,802.3ad-4NICs-layer2,1024,29.45,34.77
intel,802.3ad-4NICs-layer2,2048,32.72,62.59
intel,802.3ad-4NICs-layer2,4096,40.25,101.76
intel,802.3ad-4NICs-layer2,8192,47.72,171.67
intel,802.3ad-4NICs-layer2,16384,63.47,258.13
