number,apps
1,intel
2,ft
3,sp
4,bt
5,sp
6,ft
7,cg
8,bt
9,intel
10,ft
11,cg
12,lu
13,sp
14,bt
15,intel
16,ft
17,lu
18,lu
19,is
20,ft
21,mg
22,is
23,cg
24,lu
25,mg
26,alya
27,bt
28,cg
29,sp
30,lu
31,sp
32,bt
33,bt
34,sp
35,sp
36,mg
37,ep
38,ep
39,ep
40,ep
41,is
42,ft
43,alya
44,alya
45,is
46,mg
47,ep
48,intel
49,is
50,sp
51,ft
52,ft
53,ep
54,ep
55,is
56,ft
57,ft
58,bt
59,bt
60,is
61,ep
62,bt
63,mg
64,alya
65,bt
66,ft
67,sp
68,sp
69,mg
70,lu
71,sp
72,ep
73,ft
74,alya
75,sp
76,cg
77,lu
78,lu
79,ep
80,mg
81,bt
82,mg
83,lu
84,bt
85,ep
86,is
87,is
88,alya
89,bt
90,intel
91,alya
92,ep
93,bt
94,sp
95,is
96,ft
97,ft
98,cg
99,alya
100,bt
101,ep
102,alya
103,sp
104,mg
105,alya
106,ep
107,cg
108,ft
109,cg
110,intel
111,mg
112,mg
113,alya
114,alya
115,ep
116,lu
117,intel
118,bt
119,ft
120,mg
121,mg
122,bt
123,intel
124,alya
125,bt
126,cg
127,intel
128,lu
129,bt
130,mg
131,ft
132,lu
133,ep
134,lu
135,alya
136,cg
137,bt
138,mg
139,lu
140,cg
141,mg
142,lu
143,is
144,mg
145,ep
146,intel
147,sp
148,mg
149,alya
150,intel
151,cg
152,ep
153,ep
154,alya
155,is
156,lu
157,bt
158,intel
159,intel
160,alya
161,lu
162,lu
163,ft
164,is
165,ft
166,cg
167,lu
168,alya
169,mg
170,lu
171,is
172,ep
173,lu
174,sp
175,cg
176,ep
177,lu
178,alya
179,intel
180,cg
181,cg
182,is
183,mg
184,intel
185,bt
186,sp
187,sp
188,mg
189,ep
190,cg
191,lu
192,cg
193,bt
194,cg
195,sp
196,mg
197,mg
198,is
199,sp
200,lu
201,alya
202,bt
203,intel
204,intel
205,cg
206,cg
207,is
208,cg
209,cg
210,is
211,sp
212,intel
213,intel
214,alya
215,is
216,mg
217,cg
218,sp
219,ep
220,ft
221,is
222,ft
223,sp
224,ft
225,alya
226,alya
227,alya
228,ft
229,lu
230,cg
231,ep
232,ep
233,ft
234,intel
235,is
236,ep
237,intel
238,cg
239,alya
240,lu
241,is
242,bt
243,bt
244,bt
245,ep
246,ft
247,lu
248,is
249,alya
250,ft
251,sp
252,ft
253,mg
254,sp
255,ep
256,cg
257,intel
258,sp
259,bt
260,mg
261,is
262,ep
263,lu
264,is
265,mg
266,bt
267,is
268,mg
269,alya
270,intel
271,mg
272,ep
273,intel
274,cg
275,ft
276,intel
277,intel
278,alya
279,cg
280,sp
281,alya
282,intel
283,intel
284,bt
285,is
286,intel
287,intel
288,sp
289,ft
290,is
291,alya
292,cg
293,sp
294,ft
295,lu
296,lu
297,sp
298,is
299,is
300,mg

