apps,bondmode,bytes,time,mbytes-sec
intel,Balance_Round_Robin-4NICs-layer2,0,25.16,0.00
intel,Balance_Round_Robin-4NICs-layer2,1,25.80,0.04
intel,Balance_Round_Robin-4NICs-layer2,2,25.78,0.08
intel,Balance_Round_Robin-4NICs-layer2,4,25.79,0.16
intel,Balance_Round_Robin-4NICs-layer2,8,25.74,0.31
intel,Balance_Round_Robin-4NICs-layer2,16,25.89,0.62
intel,Balance_Round_Robin-4NICs-layer2,32,26.04,1.23
intel,Balance_Round_Robin-4NICs-layer2,64,26.10,2.45
intel,Balance_Round_Robin-4NICs-layer2,128,26.45,4.84
intel,Balance_Round_Robin-4NICs-layer2,256,26.63,9.61
intel,Balance_Round_Robin-4NICs-layer2,512,27.06,18.92
intel,Balance_Round_Robin-4NICs-layer2,1024,28.36,36.11
intel,Balance_Round_Robin-4NICs-layer2,2048,31.51,65.00
intel,Balance_Round_Robin-4NICs-layer2,4096,38.59,106.13
intel,Balance_Round_Robin-4NICs-layer2,8192,44.82,182.78
intel,Balance_Round_Robin-4NICs-layer2,16384,60.78,269.56
intel,Balance_Round_Robin-4NICs-layer2,32768,52.26,627.00
intel,Balance_Round_Robin-4NICs-layer2,65536,110.58,592.66
intel,Balance_Round_Robin-4NICs-layer2,131072,171.26,765.35
intel,Balance_Round_Robin-4NICs-layer2,262144,260.64,1005.76
intel,Balance_Round_Robin-4NICs-layer2,524288,462.80,1132.86
intel,Balance_Round_Robin-4NICs-layer2,1048576,860.68,1218.30
intel,Balance_Round_Robin-4NICs-layer2,2097152,1620.10,1294.45
intel,Balance_Round_Robin-4NICs-layer2,4194304,3214.93,1304.63
intel,Balance_Round_Robin-4NICs-layer2,0,26.94,0.00
intel,Balance_Round_Robin-4NICs-layer2,1,26.02,0.04
intel,Balance_Round_Robin-4NICs-layer2,2,26.69,0.07
intel,Balance_Round_Robin-4NICs-layer2,4,26.19,0.15
intel,Balance_Round_Robin-4NICs-layer2,8,26.29,0.30
intel,Balance_Round_Robin-4NICs-layer2,16,26.96,0.59
intel,Balance_Round_Robin-4NICs-layer2,32,26.52,1.21
intel,Balance_Round_Robin-4NICs-layer2,64,26.78,2.39
intel,Balance_Round_Robin-4NICs-layer2,128,26.54,4.82
intel,Balance_Round_Robin-4NICs-layer2,256,26.85,9.54
intel,Balance_Round_Robin-4NICs-layer2,512,27.36,18.71
intel,Balance_Round_Robin-4NICs-layer2,1024,28.94,35.38
intel,Balance_Round_Robin-4NICs-layer2,2048,31.84,64.31
intel,Balance_Round_Robin-4NICs-layer2,4096,39.20,104.49
intel,Balance_Round_Robin-4NICs-layer2,8192,45.97,178.19
intel,Balance_Round_Robin-4NICs-layer2,16384,69.29,236.44
intel,Balance_Round_Robin-4NICs-layer2,32768,61.04,536.84
intel,Balance_Round_Robin-4NICs-layer2,65536,112.01,585.09
intel,Balance_Round_Robin-4NICs-layer2,131072,165.36,792.67
intel,Balance_Round_Robin-4NICs-layer2,262144,259.81,1009.00
