apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,12.01
is,16,802.3ad-4NICs-layer2,11.87
is,16,802.3ad-4NICs-layer2,12.04
is,16,802.3ad-4NICs-layer2,11.82
is,16,802.3ad-4NICs-layer2,11.56
is,16,802.3ad-4NICs-layer2,11.83
is,16,802.3ad-4NICs-layer2,12.42
is,16,802.3ad-4NICs-layer2,11.69
is,16,802.3ad-4NICs-layer2,11.83
is,16,802.3ad-4NICs-layer2,11.85
ft,16,802.3ad-4NICs-layer2,112.92
ft,16,802.3ad-4NICs-layer2,113.18
ft,16,802.3ad-4NICs-layer2,113.90
ft,16,802.3ad-4NICs-layer2,112.98
ft,16,802.3ad-4NICs-layer2,113.37
ft,16,802.3ad-4NICs-layer2,113.08
ft,16,802.3ad-4NICs-layer2,113.71
ft,16,802.3ad-4NICs-layer2,112.92
ft,16,802.3ad-4NICs-layer2,112.85
ft,16,802.3ad-4NICs-layer2,113.55
is,16,802.3ad-4NICs-layer2,11.93
is,16,802.3ad-4NICs-layer2,11.85
is,16,802.3ad-4NICs-layer2,11.96
is,16,802.3ad-4NICs-layer2,11.74
is,16,802.3ad-4NICs-layer2,11.55
is,16,802.3ad-4NICs-layer2,11.83
is,16,802.3ad-4NICs-layer2,11.63
is,16,802.3ad-4NICs-layer2,11.83
is,16,802.3ad-4NICs-layer2,11.87
is,16,802.3ad-4NICs-layer2,11.90
ft,16,802.3ad-4NICs-layer2,113.23
ft,16,802.3ad-4NICs-layer2,113.65
ft,16,802.3ad-4NICs-layer2,113.80
ft,16,802.3ad-4NICs-layer2,114.17
ft,16,802.3ad-4NICs-layer2,113.70
ft,16,802.3ad-4NICs-layer2,113.35
ft,16,802.3ad-4NICs-layer2,113.58
ft,16,802.3ad-4NICs-layer2,113.56
ft,16,802.3ad-4NICs-layer2,114.05
ft,16,802.3ad-4NICs-layer2,113.53
bt,16,802.3ad-4NICs-layer2,188.34
bt,16,802.3ad-4NICs-layer2,187.22
bt,16,802.3ad-4NICs-layer2,189.16
bt,16,802.3ad-4NICs-layer2,186.78
bt,16,802.3ad-4NICs-layer2,189.86
bt,16,802.3ad-4NICs-layer2,187.75
bt,16,802.3ad-4NICs-layer2,187.12
bt,16,802.3ad-4NICs-layer2,187.85
bt,16,802.3ad-4NICs-layer2,189.03
bt,16,802.3ad-4NICs-layer2,187.87
sp,16,802.3ad-4NICs-layer2,217.93
sp,16,802.3ad-4NICs-layer2,216.52
sp,16,802.3ad-4NICs-layer2,215.65
sp,16,802.3ad-4NICs-layer2,216.95
sp,16,802.3ad-4NICs-layer2,216.85
sp,16,802.3ad-4NICs-layer2,217.69
sp,16,802.3ad-4NICs-layer2,218.86
sp,16,802.3ad-4NICs-layer2,217.40
sp,16,802.3ad-4NICs-layer2,215.49
sp,16,802.3ad-4NICs-layer2,217.51
bt,16,802.3ad-4NICs-layer2,188.08
bt,16,802.3ad-4NICs-layer2,188.18
bt,16,802.3ad-4NICs-layer2,187.41
bt,16,802.3ad-4NICs-layer2,188.97
bt,16,802.3ad-4NICs-layer2,188.70
bt,16,802.3ad-4NICs-layer2,188.94
bt,16,802.3ad-4NICs-layer2,186.30
bt,16,802.3ad-4NICs-layer2,186.61
bt,16,802.3ad-4NICs-layer2,186.85
bt,16,802.3ad-4NICs-layer2,187.48
sp,16,802.3ad-4NICs-layer2,216.74
sp,16,802.3ad-4NICs-layer2,217.87
sp,16,802.3ad-4NICs-layer2,218.82
sp,16,802.3ad-4NICs-layer2,219.70
sp,16,802.3ad-4NICs-layer2,215.47
sp,16,802.3ad-4NICs-layer2,217.15
sp,16,802.3ad-4NICs-layer2,216.72
sp,16,802.3ad-4NICs-layer2,216.55
sp,16,802.3ad-4NICs-layer2,215.57
sp,16,802.3ad-4NICs-layer2,218.24
bt,16,802.3ad-4NICs-layer2,187.42
bt,16,802.3ad-4NICs-layer2,188.17
bt,16,802.3ad-4NICs-layer2,188.15
bt,16,802.3ad-4NICs-layer2,187.52
bt,16,802.3ad-4NICs-layer2,189.48
bt,16,802.3ad-4NICs-layer2,187.43
bt,16,802.3ad-4NICs-layer2,187.29
bt,16,802.3ad-4NICs-layer2,188.35
bt,16,802.3ad-4NICs-layer2,186.69
bt,16,802.3ad-4NICs-layer2,187.87
sp,16,802.3ad-4NICs-layer2,216.99
sp,16,802.3ad-4NICs-layer2,218.58
sp,16,802.3ad-4NICs-layer2,217.65
sp,16,802.3ad-4NICs-layer2,218.23
sp,16,802.3ad-4NICs-layer2,218.12
sp,16,802.3ad-4NICs-layer2,217.79
sp,16,802.3ad-4NICs-layer2,218.52
sp,16,802.3ad-4NICs-layer2,216.09
sp,16,802.3ad-4NICs-layer2,216.83
sp,16,802.3ad-4NICs-layer2,217.85
bt,16,802.3ad-4NICs-layer2,187.89
bt,16,802.3ad-4NICs-layer2,188.56
bt,16,802.3ad-4NICs-layer2,188.63
bt,16,802.3ad-4NICs-layer2,188.46
bt,16,802.3ad-4NICs-layer2,189.42
bt,16,802.3ad-4NICs-layer2,188.07
bt,16,802.3ad-4NICs-layer2,189.40
