apps,process,bondmode,time
bt,16,balance-rr-4NICs-layer2-1,182.29
bt,16,balance-rr-4NICs-layer2-1,180.98
bt,16,balance-rr-4NICs-layer2-1,182.13
bt,16,balance-rr-4NICs-layer2-1,182.35
bt,16,balance-rr-4NICs-layer2-1,179.72
bt,16,balance-rr-4NICs-layer2-1,182.6
bt,16,balance-rr-4NICs-layer2-1,183.58
bt,16,balance-rr-4NICs-layer2-1,181.37
bt,16,balance-rr-4NICs-layer2-1,179.97
bt,16,balance-rr-4NICs-layer2-1,180.91
bt,16,balance-rr-4NICs-layer2-1,182.16
bt,16,balance-rr-4NICs-layer2-1,183.87
bt,16,balance-rr-4NICs-layer2-1,181.42
bt,16,balance-rr-4NICs-layer2-1,179.53
bt,16,balance-rr-4NICs-layer2-1,180.26
bt,16,balance-rr-4NICs-layer2-1,180.83
bt,16,balance-rr-4NICs-layer2-1,179.69
bt,16,balance-rr-4NICs-layer2-1,181.09
bt,16,balance-rr-4NICs-layer2-1,184.02
bt,16,balance-rr-4NICs-layer2-1,179.64
bt,16,balance-rr-4NICs-layer2-1,179.24
bt,16,balance-rr-4NICs-layer2-1,181.7
bt,16,balance-rr-4NICs-layer2-1,181.02
bt,16,balance-rr-4NICs-layer2-1,181.64
bt,16,balance-rr-4NICs-layer2-1,182.21
bt,16,balance-rr-4NICs-layer2-1,180.8
bt,16,balance-rr-4NICs-layer2-1,180.67
bt,16,balance-rr-4NICs-layer2-1,179.94
bt,16,balance-rr-4NICs-layer2-1,179.89
bt,16,balance-rr-4NICs-layer2-1,183.37
