apps,process,bondmode,time
bt,64,balance-rr-4NICs-layer2-1,172.82
bt,64,balance-rr-4NICs-layer2-1,171.36
bt,64,balance-rr-4NICs-layer2-1,171.66
bt,64,balance-rr-4NICs-layer2-1,172.37
bt,64,balance-rr-4NICs-layer2-1,171.94
bt,64,balance-rr-4NICs-layer2-1,172.31
bt,64,balance-rr-4NICs-layer2-1,171.64
bt,64,balance-rr-4NICs-layer2-1,171.98
bt,64,balance-rr-4NICs-layer2-1,172.23
bt,64,balance-rr-4NICs-layer2-1,172.66
bt,64,balance-rr-4NICs-layer2-1,169.83
bt,64,balance-rr-4NICs-layer2-1,173.65
bt,64,balance-rr-4NICs-layer2-1,170.83
bt,64,balance-rr-4NICs-layer2-1,172.13
bt,64,balance-rr-4NICs-layer2-1,169.46
bt,64,balance-rr-4NICs-layer2-1,171.28
bt,64,balance-rr-4NICs-layer2-1,170.87
bt,64,balance-rr-4NICs-layer2-1,170.29
bt,64,balance-rr-4NICs-layer2-1,172.43
bt,64,balance-rr-4NICs-layer2-1,170.51
bt,64,balance-rr-4NICs-layer2-1,171.96
bt,64,balance-rr-4NICs-layer2-1,169.77
bt,64,balance-rr-4NICs-layer2-1,169.61
bt,64,balance-rr-4NICs-layer2-1,172.98
bt,64,balance-rr-4NICs-layer2-1,172.06
bt,64,balance-rr-4NICs-layer2-1,171.03
bt,64,balance-rr-4NICs-layer2-1,172.9
bt,64,balance-rr-4NICs-layer2-1,170.4
bt,64,balance-rr-4NICs-layer2-1,172.42
bt,64,balance-rr-4NICs-layer2-1,171.42
