apps,process,bondmode,time
bt,16,balance-rr-4NICs-layer2-1,180.92
bt,16,balance-rr-4NICs-layer2-1,180.6
bt,16,balance-rr-4NICs-layer2-1,182.01
bt,16,balance-rr-4NICs-layer2-1,179.64
bt,16,balance-rr-4NICs-layer2-1,180.36
bt,16,balance-rr-4NICs-layer2-1,181.62
bt,16,balance-rr-4NICs-layer2-1,181.43
bt,16,balance-rr-4NICs-layer2-1,181.25
bt,16,balance-rr-4NICs-layer2-1,182.91
bt,16,balance-rr-4NICs-layer2-1,181.61
bt,16,balance-rr-4NICs-layer2-1,180.73
bt,16,balance-rr-4NICs-layer2-1,180.03
bt,16,balance-rr-4NICs-layer2-1,180.01
bt,16,balance-rr-4NICs-layer2-1,180.93
bt,16,balance-rr-4NICs-layer2-1,181.34
bt,16,balance-rr-4NICs-layer2-1,180.82
bt,16,balance-rr-4NICs-layer2-1,180.97
bt,16,balance-rr-4NICs-layer2-1,181.66
bt,16,balance-rr-4NICs-layer2-1,180.89
bt,16,balance-rr-4NICs-layer2-1,179.89
bt,16,balance-rr-4NICs-layer2-1,181.17
bt,16,balance-rr-4NICs-layer2-1,180.6
bt,16,balance-rr-4NICs-layer2-1,180.92
bt,16,balance-rr-4NICs-layer2-1,182.33
bt,16,balance-rr-4NICs-layer2-1,180.94
bt,16,balance-rr-4NICs-layer2-1,180.88
bt,16,balance-rr-4NICs-layer2-1,182.67
bt,16,balance-rr-4NICs-layer2-1,182.85
bt,16,balance-rr-4NICs-layer2-1,180.77
bt,16,balance-rr-4NICs-layer2-1,181.36
