apps,process,bondmode,time
ft,16,balance-rr-4NICs-layer2-1,82.64
ft,16,balance-rr-4NICs-layer2-1,82.64
ft,16,balance-rr-4NICs-layer2-1,83.41
ft,16,balance-rr-4NICs-layer2-1,82.41
ft,16,balance-rr-4NICs-layer2-1,81.2
ft,16,balance-rr-4NICs-layer2-1,82.64
ft,16,balance-rr-4NICs-layer2-1,83.23
ft,16,balance-rr-4NICs-layer2-1,82.06
ft,16,balance-rr-4NICs-layer2-1,82.27
ft,16,balance-rr-4NICs-layer2-1,81.6
ft,16,balance-rr-4NICs-layer2-1,82.01
ft,16,balance-rr-4NICs-layer2-1,82.17
ft,16,balance-rr-4NICs-layer2-1,81.65
ft,16,balance-rr-4NICs-layer2-1,82.46
ft,16,balance-rr-4NICs-layer2-1,82.35
ft,16,balance-rr-4NICs-layer2-1,82
ft,16,balance-rr-4NICs-layer2-1,82.53
ft,16,balance-rr-4NICs-layer2-1,82.34
ft,16,balance-rr-4NICs-layer2-1,81.61
ft,16,balance-rr-4NICs-layer2-1,81.89
ft,16,balance-rr-4NICs-layer2-1,81.4
ft,16,balance-rr-4NICs-layer2-1,82.67
ft,16,balance-rr-4NICs-layer2-1,81.28
ft,16,balance-rr-4NICs-layer2-1,83.04
ft,16,balance-rr-4NICs-layer2-1,81.74
ft,16,balance-rr-4NICs-layer2-1,82.34
ft,16,balance-rr-4NICs-layer2-1,81.33
ft,16,balance-rr-4NICs-layer2-1,82.15
ft,16,balance-rr-4NICs-layer2-1,80.15
ft,16,balance-rr-4NICs-layer2-1,82.14
