apps,process,bondmode,time
is,16,balance-rr-4NICs-layer2-1,8.21
is,16,balance-rr-4NICs-layer2-1,7.93
is,16,balance-rr-4NICs-layer2-1,8.21
is,16,balance-rr-4NICs-layer2-1,7.87
is,16,balance-rr-4NICs-layer2-1,8.02
is,16,balance-rr-4NICs-layer2-1,8.1
is,16,balance-rr-4NICs-layer2-1,7.84
is,16,balance-rr-4NICs-layer2-1,8.02
is,16,balance-rr-4NICs-layer2-1,8.15
is,16,balance-rr-4NICs-layer2-1,8.52
is,16,balance-rr-4NICs-layer2-1,7.82
is,16,balance-rr-4NICs-layer2-1,8.16
is,16,balance-rr-4NICs-layer2-1,8
is,16,balance-rr-4NICs-layer2-1,8.12
is,16,balance-rr-4NICs-layer2-1,8.09
is,16,balance-rr-4NICs-layer2-1,8.26
is,16,balance-rr-4NICs-layer2-1,8.64
is,16,balance-rr-4NICs-layer2-1,7.96
is,16,balance-rr-4NICs-layer2-1,7.97
is,16,balance-rr-4NICs-layer2-1,7.97
is,16,balance-rr-4NICs-layer2-1,8.19
is,16,balance-rr-4NICs-layer2-1,8.24
is,16,balance-rr-4NICs-layer2-1,8.36
is,16,balance-rr-4NICs-layer2-1,7.87
is,16,balance-rr-4NICs-layer2-1,8.23
is,16,balance-rr-4NICs-layer2-1,8.08
is,16,balance-rr-4NICs-layer2-1,8.09
is,16,balance-rr-4NICs-layer2-1,7.9
is,16,balance-rr-4NICs-layer2-1,7.91
is,16,balance-rr-4NICs-layer2-1,8.31
