apps,process,bondmode,time
is,64,balance-rr-4NICs-layer2-1,13.09
is,64,balance-rr-4NICs-layer2-1,12.97
is,64,balance-rr-4NICs-layer2-1,13.07
is,64,balance-rr-4NICs-layer2-1,13.07
is,64,balance-rr-4NICs-layer2-1,12.84
is,64,balance-rr-4NICs-layer2-1,13.1
is,64,balance-rr-4NICs-layer2-1,12.73
is,64,balance-rr-4NICs-layer2-1,13.08
is,64,balance-rr-4NICs-layer2-1,13.2
is,64,balance-rr-4NICs-layer2-1,13.11
is,64,balance-rr-4NICs-layer2-1,13.17
is,64,balance-rr-4NICs-layer2-1,13.43
is,64,balance-rr-4NICs-layer2-1,13.27
is,64,balance-rr-4NICs-layer2-1,13.41
is,64,balance-rr-4NICs-layer2-1,13.63
is,64,balance-rr-4NICs-layer2-1,13.06
is,64,balance-rr-4NICs-layer2-1,13.35
is,64,balance-rr-4NICs-layer2-1,13.53
is,64,balance-rr-4NICs-layer2-1,13.47
is,64,balance-rr-4NICs-layer2-1,13.36
is,64,balance-rr-4NICs-layer2-1,13.28
is,64,balance-rr-4NICs-layer2-1,13.22
is,64,balance-rr-4NICs-layer2-1,13.7
is,64,balance-rr-4NICs-layer2-1,13.47
is,64,balance-rr-4NICs-layer2-1,13.5
is,64,balance-rr-4NICs-layer2-1,13.35
is,64,balance-rr-4NICs-layer2-1,13.09
is,64,balance-rr-4NICs-layer2-1,13.36
is,64,balance-rr-4NICs-layer2-1,13.21
is,64,balance-rr-4NICs-layer2-1,13.07
