apps,process,bondmode,time
sp,64,balance-rr-4NICs-layer2-1,271.85
sp,64,balance-rr-4NICs-layer2-1,277.29
sp,64,balance-rr-4NICs-layer2-1,278.96
sp,64,balance-rr-4NICs-layer2-1,278.16
sp,64,balance-rr-4NICs-layer2-1,274.67
sp,64,balance-rr-4NICs-layer2-1,273.76
sp,64,balance-rr-4NICs-layer2-1,269.83
sp,64,balance-rr-4NICs-layer2-1,277.67
sp,64,balance-rr-4NICs-layer2-1,277.97
sp,64,balance-rr-4NICs-layer2-1,277.75
sp,64,balance-rr-4NICs-layer2-1,280.33
sp,64,balance-rr-4NICs-layer2-1,276.79
sp,64,balance-rr-4NICs-layer2-1,277.7
sp,64,balance-rr-4NICs-layer2-1,278.67
sp,64,balance-rr-4NICs-layer2-1,276.78
sp,64,balance-rr-4NICs-layer2-1,269.1
sp,64,balance-rr-4NICs-layer2-1,281.55
sp,64,balance-rr-4NICs-layer2-1,274.92
sp,64,balance-rr-4NICs-layer2-1,275.9
sp,64,balance-rr-4NICs-layer2-1,275.17
sp,64,balance-rr-4NICs-layer2-1,276.78
sp,64,balance-rr-4NICs-layer2-1,278.03
sp,64,balance-rr-4NICs-layer2-1,275.98
sp,64,balance-rr-4NICs-layer2-1,277.91
sp,64,balance-rr-4NICs-layer2-1,281.36
sp,64,balance-rr-4NICs-layer2-1,274.76
sp,64,balance-rr-4NICs-layer2-1,273.53
sp,64,balance-rr-4NICs-layer2-1,277.27
sp,64,balance-rr-4NICs-layer2-1,275.33
sp,64,balance-rr-4NICs-layer2-1,272.79
