apps,process,bondmode,time
sp,64,balance-rr-4NICs-layer2-1,274.99
sp,64,balance-rr-4NICs-layer2-1,273
sp,64,balance-rr-4NICs-layer2-1,278.34
sp,64,balance-rr-4NICs-layer2-1,279.32
sp,64,balance-rr-4NICs-layer2-1,278.86
sp,64,balance-rr-4NICs-layer2-1,274.93
sp,64,balance-rr-4NICs-layer2-1,273.02
sp,64,balance-rr-4NICs-layer2-1,277.34
sp,64,balance-rr-4NICs-layer2-1,276.64
sp,64,balance-rr-4NICs-layer2-1,279.23
sp,64,balance-rr-4NICs-layer2-1,282.73
sp,64,balance-rr-4NICs-layer2-1,271.83
sp,64,balance-rr-4NICs-layer2-1,280.78
sp,64,balance-rr-4NICs-layer2-1,273.98
sp,64,balance-rr-4NICs-layer2-1,270.74
sp,64,balance-rr-4NICs-layer2-1,275.69
sp,64,balance-rr-4NICs-layer2-1,282.28
sp,64,balance-rr-4NICs-layer2-1,279.96
sp,64,balance-rr-4NICs-layer2-1,281.05
sp,64,balance-rr-4NICs-layer2-1,274.61
sp,64,balance-rr-4NICs-layer2-1,272.45
sp,64,balance-rr-4NICs-layer2-1,279.71
sp,64,balance-rr-4NICs-layer2-1,280.34
sp,64,balance-rr-4NICs-layer2-1,281.97
sp,64,balance-rr-4NICs-layer2-1,270.98
sp,64,balance-rr-4NICs-layer2-1,272.57
sp,64,balance-rr-4NICs-layer2-1,281.41
sp,64,balance-rr-4NICs-layer2-1,273.12
sp,64,balance-rr-4NICs-layer2-1,271.76
sp,64,balance-rr-4NICs-layer2-1,266.72
