apps,process,bondmode,time
sp,64,balance-rr-4NICs-layer2-1,282.17
sp,64,balance-rr-4NICs-layer2-1,270.24
sp,64,balance-rr-4NICs-layer2-1,277.25
sp,64,balance-rr-4NICs-layer2-1,279.27
sp,64,balance-rr-4NICs-layer2-1,274.53
sp,64,balance-rr-4NICs-layer2-1,277.73
sp,64,balance-rr-4NICs-layer2-1,274.81
sp,64,balance-rr-4NICs-layer2-1,270.22
sp,64,balance-rr-4NICs-layer2-1,280.56
sp,64,balance-rr-4NICs-layer2-1,263.35
sp,64,balance-rr-4NICs-layer2-1,273.17
sp,64,balance-rr-4NICs-layer2-1,283.39
sp,64,balance-rr-4NICs-layer2-1,277.95
sp,64,balance-rr-4NICs-layer2-1,281.79
sp,64,balance-rr-4NICs-layer2-1,279.27
sp,64,balance-rr-4NICs-layer2-1,273.91
sp,64,balance-rr-4NICs-layer2-1,275.65
sp,64,balance-rr-4NICs-layer2-1,282.2
sp,64,balance-rr-4NICs-layer2-1,288.4
sp,64,balance-rr-4NICs-layer2-1,274.61
sp,64,balance-rr-4NICs-layer2-1,278.61
sp,64,balance-rr-4NICs-layer2-1,276.46
sp,64,balance-rr-4NICs-layer2-1,275.13
sp,64,balance-rr-4NICs-layer2-1,281.36
sp,64,balance-rr-4NICs-layer2-1,282.28
sp,64,balance-rr-4NICs-layer2-1,270.74
sp,64,balance-rr-4NICs-layer2-1,266.94
sp,64,balance-rr-4NICs-layer2-1,287.56
sp,64,balance-rr-4NICs-layer2-1,269.46
sp,64,balance-rr-4NICs-layer2-1,273.52
