apps,process,bondmode,time
ft,16,balance-rr-4NICs-layer2-1,82.33
ft,16,balance-rr-4NICs-layer2-1,82.93
ft,16,balance-rr-4NICs-layer2-1,82.28
ft,16,balance-rr-4NICs-layer2-1,82.79
ft,16,balance-rr-4NICs-layer2-1,82.6
ft,16,balance-rr-4NICs-layer2-1,83.15
ft,16,balance-rr-4NICs-layer2-1,81.42
ft,16,balance-rr-4NICs-layer2-1,81.81
ft,16,balance-rr-4NICs-layer2-1,81.76
ft,16,balance-rr-4NICs-layer2-1,82.48
ft,16,balance-rr-4NICs-layer2-1,82.33
ft,16,balance-rr-4NICs-layer2-1,82.81
ft,16,balance-rr-4NICs-layer2-1,82.58
ft,16,balance-rr-4NICs-layer2-1,81.72
ft,16,balance-rr-4NICs-layer2-1,82.72
ft,16,balance-rr-4NICs-layer2-1,81.32
ft,16,balance-rr-4NICs-layer2-1,81.87
ft,16,balance-rr-4NICs-layer2-1,81.99
ft,16,balance-rr-4NICs-layer2-1,82.9
ft,16,balance-rr-4NICs-layer2-1,81.78
ft,16,balance-rr-4NICs-layer2-1,82.04
ft,16,balance-rr-4NICs-layer2-1,82.59
ft,16,balance-rr-4NICs-layer2-1,83.31
ft,16,balance-rr-4NICs-layer2-1,82.1
ft,16,balance-rr-4NICs-layer2-1,81.32
ft,16,balance-rr-4NICs-layer2-1,81.76
ft,16,balance-rr-4NICs-layer2-1,82.29
ft,16,balance-rr-4NICs-layer2-1,82.3
ft,16,balance-rr-4NICs-layer2-1,82.5
ft,16,balance-rr-4NICs-layer2-1,81.37
