apps,process,bondmode,time
bt,16,balance-rr-4NICs-layer2-1,181.57
bt,16,balance-rr-4NICs-layer2-1,180.35
bt,16,balance-rr-4NICs-layer2-1,181.59
bt,16,balance-rr-4NICs-layer2-1,181.16
bt,16,balance-rr-4NICs-layer2-1,180.79
bt,16,balance-rr-4NICs-layer2-1,181.27
bt,16,balance-rr-4NICs-layer2-1,181.63
bt,16,balance-rr-4NICs-layer2-1,180.5
bt,16,balance-rr-4NICs-layer2-1,182
bt,16,balance-rr-4NICs-layer2-1,180.97
bt,16,balance-rr-4NICs-layer2-1,181.66
bt,16,balance-rr-4NICs-layer2-1,182.17
bt,16,balance-rr-4NICs-layer2-1,180.49
bt,16,balance-rr-4NICs-layer2-1,181.55
bt,16,balance-rr-4NICs-layer2-1,181.84
bt,16,balance-rr-4NICs-layer2-1,180.38
bt,16,balance-rr-4NICs-layer2-1,179.78
bt,16,balance-rr-4NICs-layer2-1,180.99
bt,16,balance-rr-4NICs-layer2-1,181.52
bt,16,balance-rr-4NICs-layer2-1,180.73
bt,16,balance-rr-4NICs-layer2-1,181.64
bt,16,balance-rr-4NICs-layer2-1,179.73
bt,16,balance-rr-4NICs-layer2-1,180.4
bt,16,balance-rr-4NICs-layer2-1,180.87
bt,16,balance-rr-4NICs-layer2-1,181.98
bt,16,balance-rr-4NICs-layer2-1,181.01
bt,16,balance-rr-4NICs-layer2-1,183.16
bt,16,balance-rr-4NICs-layer2-1,182.52
bt,16,balance-rr-4NICs-layer2-1,180.38
bt,16,balance-rr-4NICs-layer2-1,180.94
