apps,process,bondmode,time
sp,16,balance-rr-4NICs-layer2-1,203.11
sp,16,balance-rr-4NICs-layer2-1,204.52
sp,16,balance-rr-4NICs-layer2-1,205.64
sp,16,balance-rr-4NICs-layer2-1,206.66
sp,16,balance-rr-4NICs-layer2-1,203.63
sp,16,balance-rr-4NICs-layer2-1,204.27
sp,16,balance-rr-4NICs-layer2-1,204.5
sp,16,balance-rr-4NICs-layer2-1,205.67
sp,16,balance-rr-4NICs-layer2-1,205.13
sp,16,balance-rr-4NICs-layer2-1,205.56
sp,16,balance-rr-4NICs-layer2-1,204.64
sp,16,balance-rr-4NICs-layer2-1,206.06
sp,16,balance-rr-4NICs-layer2-1,203.78
sp,16,balance-rr-4NICs-layer2-1,204.16
sp,16,balance-rr-4NICs-layer2-1,205.23
sp,16,balance-rr-4NICs-layer2-1,203.84
sp,16,balance-rr-4NICs-layer2-1,204.68
sp,16,balance-rr-4NICs-layer2-1,203.92
sp,16,balance-rr-4NICs-layer2-1,204.54
sp,16,balance-rr-4NICs-layer2-1,202.25
sp,16,balance-rr-4NICs-layer2-1,205.94
sp,16,balance-rr-4NICs-layer2-1,205.08
sp,16,balance-rr-4NICs-layer2-1,206.76
sp,16,balance-rr-4NICs-layer2-1,207.46
sp,16,balance-rr-4NICs-layer2-1,205.44
sp,16,balance-rr-4NICs-layer2-1,203.83
sp,16,balance-rr-4NICs-layer2-1,202.98
sp,16,balance-rr-4NICs-layer2-1,203.22
sp,16,balance-rr-4NICs-layer2-1,203.27
sp,16,balance-rr-4NICs-layer2-1,203.87
