apps,process,bondmode,time
bt,16,balance-rr-4NICs-layer2-1,182.13
bt,16,balance-rr-4NICs-layer2-1,182.64
bt,16,balance-rr-4NICs-layer2-1,181.68
bt,16,balance-rr-4NICs-layer2-1,181.3
bt,16,balance-rr-4NICs-layer2-1,180.51
bt,16,balance-rr-4NICs-layer2-1,179.98
bt,16,balance-rr-4NICs-layer2-1,179.6
bt,16,balance-rr-4NICs-layer2-1,179.16
bt,16,balance-rr-4NICs-layer2-1,182.54
bt,16,balance-rr-4NICs-layer2-1,181.88
bt,16,balance-rr-4NICs-layer2-1,183.25
bt,16,balance-rr-4NICs-layer2-1,181.73
bt,16,balance-rr-4NICs-layer2-1,180.79
bt,16,balance-rr-4NICs-layer2-1,182.14
bt,16,balance-rr-4NICs-layer2-1,184.13
bt,16,balance-rr-4NICs-layer2-1,180.5
bt,16,balance-rr-4NICs-layer2-1,181.99
bt,16,balance-rr-4NICs-layer2-1,182.23
bt,16,balance-rr-4NICs-layer2-1,180.2
bt,16,balance-rr-4NICs-layer2-1,181.75
bt,16,balance-rr-4NICs-layer2-1,181.51
bt,16,balance-rr-4NICs-layer2-1,181.24
bt,16,balance-rr-4NICs-layer2-1,180.18
bt,16,balance-rr-4NICs-layer2-1,180.36
bt,16,balance-rr-4NICs-layer2-1,180.52
bt,16,balance-rr-4NICs-layer2-1,179.08
bt,16,balance-rr-4NICs-layer2-1,181.46
bt,16,balance-rr-4NICs-layer2-1,180.62
bt,16,balance-rr-4NICs-layer2-1,180.67
bt,16,balance-rr-4NICs-layer2-1,179.22
