apps,process,bondmode,time
sp,16,balance-rr-4NICs-layer2-1,206.39
sp,16,balance-rr-4NICs-layer2-1,206.41
sp,16,balance-rr-4NICs-layer2-1,203.38
sp,16,balance-rr-4NICs-layer2-1,204.66
sp,16,balance-rr-4NICs-layer2-1,204.06
sp,16,balance-rr-4NICs-layer2-1,203.9
sp,16,balance-rr-4NICs-layer2-1,206.06
sp,16,balance-rr-4NICs-layer2-1,205.66
sp,16,balance-rr-4NICs-layer2-1,205.46
sp,16,balance-rr-4NICs-layer2-1,203.97
sp,16,balance-rr-4NICs-layer2-1,206.96
sp,16,balance-rr-4NICs-layer2-1,204.46
sp,16,balance-rr-4NICs-layer2-1,205.51
sp,16,balance-rr-4NICs-layer2-1,207.2
sp,16,balance-rr-4NICs-layer2-1,203.67
sp,16,balance-rr-4NICs-layer2-1,203.86
sp,16,balance-rr-4NICs-layer2-1,201.61
sp,16,balance-rr-4NICs-layer2-1,206.75
sp,16,balance-rr-4NICs-layer2-1,203.48
sp,16,balance-rr-4NICs-layer2-1,203.23
sp,16,balance-rr-4NICs-layer2-1,205.03
sp,16,balance-rr-4NICs-layer2-1,205.39
sp,16,balance-rr-4NICs-layer2-1,205.94
sp,16,balance-rr-4NICs-layer2-1,204.66
sp,16,balance-rr-4NICs-layer2-1,202.92
sp,16,balance-rr-4NICs-layer2-1,204.73
sp,16,balance-rr-4NICs-layer2-1,206.32
sp,16,balance-rr-4NICs-layer2-1,206.31
sp,16,balance-rr-4NICs-layer2-1,206.08
sp,16,balance-rr-4NICs-layer2-1,205.18
