apps,process,bondmode,time
sp,16,balance-rr-4NICs-layer2-1,204.11
sp,16,balance-rr-4NICs-layer2-1,204.06
sp,16,balance-rr-4NICs-layer2-1,204.57
sp,16,balance-rr-4NICs-layer2-1,205
sp,16,balance-rr-4NICs-layer2-1,204.99
sp,16,balance-rr-4NICs-layer2-1,203.45
sp,16,balance-rr-4NICs-layer2-1,205.12
sp,16,balance-rr-4NICs-layer2-1,208.22
sp,16,balance-rr-4NICs-layer2-1,201.69
sp,16,balance-rr-4NICs-layer2-1,204.14
sp,16,balance-rr-4NICs-layer2-1,204.91
sp,16,balance-rr-4NICs-layer2-1,204.54
sp,16,balance-rr-4NICs-layer2-1,204.71
sp,16,balance-rr-4NICs-layer2-1,203.17
sp,16,balance-rr-4NICs-layer2-1,203.65
sp,16,balance-rr-4NICs-layer2-1,203.46
sp,16,balance-rr-4NICs-layer2-1,204.66
sp,16,balance-rr-4NICs-layer2-1,204.38
sp,16,balance-rr-4NICs-layer2-1,203.87
sp,16,balance-rr-4NICs-layer2-1,203.28
sp,16,balance-rr-4NICs-layer2-1,202.19
sp,16,balance-rr-4NICs-layer2-1,204.02
sp,16,balance-rr-4NICs-layer2-1,205.92
sp,16,balance-rr-4NICs-layer2-1,207
sp,16,balance-rr-4NICs-layer2-1,204.71
sp,16,balance-rr-4NICs-layer2-1,206.45
sp,16,balance-rr-4NICs-layer2-1,205.14
sp,16,balance-rr-4NICs-layer2-1,204.76
sp,16,balance-rr-4NICs-layer2-1,205.54
sp,16,balance-rr-4NICs-layer2-1,208.34
