apps,process,bondmode,time
ft,64,balance-rr-4NICs-layer2-1,61.81
ft,64,balance-rr-4NICs-layer2-1,61.99
ft,64,balance-rr-4NICs-layer2-1,61.87
ft,64,balance-rr-4NICs-layer2-1,61.39
ft,64,balance-rr-4NICs-layer2-1,61.87
ft,64,balance-rr-4NICs-layer2-1,60.99
ft,64,balance-rr-4NICs-layer2-1,61.9
ft,64,balance-rr-4NICs-layer2-1,60.8
ft,64,balance-rr-4NICs-layer2-1,61.44
ft,64,balance-rr-4NICs-layer2-1,61.01
ft,64,balance-rr-4NICs-layer2-1,60.48
ft,64,balance-rr-4NICs-layer2-1,60.62
ft,64,balance-rr-4NICs-layer2-1,61.25
ft,64,balance-rr-4NICs-layer2-1,61.31
ft,64,balance-rr-4NICs-layer2-1,60.14
ft,64,balance-rr-4NICs-layer2-1,61.42
ft,64,balance-rr-4NICs-layer2-1,60.99
ft,64,balance-rr-4NICs-layer2-1,60.39
ft,64,balance-rr-4NICs-layer2-1,62.2
ft,64,balance-rr-4NICs-layer2-1,60.41
ft,64,balance-rr-4NICs-layer2-1,60.18
ft,64,balance-rr-4NICs-layer2-1,61.9
ft,64,balance-rr-4NICs-layer2-1,62.08
ft,64,balance-rr-4NICs-layer2-1,60.82
ft,64,balance-rr-4NICs-layer2-1,61.23
ft,64,balance-rr-4NICs-layer2-1,61.24
ft,64,balance-rr-4NICs-layer2-1,60.92
ft,64,balance-rr-4NICs-layer2-1,61.09
ft,64,balance-rr-4NICs-layer2-1,59.96
ft,64,balance-rr-4NICs-layer2-1,61.39
