apps,process,bondmode,time
bt,64,balance-rr-4NICs-layer2-1,170.79
bt,64,balance-rr-4NICs-layer2-1,171.64
bt,64,balance-rr-4NICs-layer2-1,172.48
bt,64,balance-rr-4NICs-layer2-1,169.73
bt,64,balance-rr-4NICs-layer2-1,170.9
bt,64,balance-rr-4NICs-layer2-1,170.28
bt,64,balance-rr-4NICs-layer2-1,173.89
bt,64,balance-rr-4NICs-layer2-1,172.76
bt,64,balance-rr-4NICs-layer2-1,171.9
bt,64,balance-rr-4NICs-layer2-1,172.59
bt,64,balance-rr-4NICs-layer2-1,170.88
bt,64,balance-rr-4NICs-layer2-1,171.04
bt,64,balance-rr-4NICs-layer2-1,171.76
bt,64,balance-rr-4NICs-layer2-1,168.62
bt,64,balance-rr-4NICs-layer2-1,171.81
bt,64,balance-rr-4NICs-layer2-1,172.57
bt,64,balance-rr-4NICs-layer2-1,171.33
bt,64,balance-rr-4NICs-layer2-1,171.63
bt,64,balance-rr-4NICs-layer2-1,173.02
bt,64,balance-rr-4NICs-layer2-1,170.54
bt,64,balance-rr-4NICs-layer2-1,169.74
bt,64,balance-rr-4NICs-layer2-1,169.68
bt,64,balance-rr-4NICs-layer2-1,174.61
bt,64,balance-rr-4NICs-layer2-1,173.15
bt,64,balance-rr-4NICs-layer2-1,170.73
bt,64,balance-rr-4NICs-layer2-1,170.8
bt,64,balance-rr-4NICs-layer2-1,171.24
bt,64,balance-rr-4NICs-layer2-1,172.29
bt,64,balance-rr-4NICs-layer2-1,173.48
bt,64,balance-rr-4NICs-layer2-1,171.29
