apps,process,bondmode,time
bt,64,balance-rr-4NICs-layer2-1,173.09
bt,64,balance-rr-4NICs-layer2-1,173.1
bt,64,balance-rr-4NICs-layer2-1,168.93
bt,64,balance-rr-4NICs-layer2-1,173.97
bt,64,balance-rr-4NICs-layer2-1,170.1
bt,64,balance-rr-4NICs-layer2-1,170.83
bt,64,balance-rr-4NICs-layer2-1,170.06
bt,64,balance-rr-4NICs-layer2-1,171.82
bt,64,balance-rr-4NICs-layer2-1,173.29
bt,64,balance-rr-4NICs-layer2-1,171.04
bt,64,balance-rr-4NICs-layer2-1,171.2
bt,64,balance-rr-4NICs-layer2-1,172.52
bt,64,balance-rr-4NICs-layer2-1,172.23
bt,64,balance-rr-4NICs-layer2-1,171.8
bt,64,balance-rr-4NICs-layer2-1,171.31
bt,64,balance-rr-4NICs-layer2-1,172.05
bt,64,balance-rr-4NICs-layer2-1,172.53
bt,64,balance-rr-4NICs-layer2-1,169.6
bt,64,balance-rr-4NICs-layer2-1,169.09
bt,64,balance-rr-4NICs-layer2-1,171.07
bt,64,balance-rr-4NICs-layer2-1,170.62
bt,64,balance-rr-4NICs-layer2-1,170.39
bt,64,balance-rr-4NICs-layer2-1,172.04
bt,64,balance-rr-4NICs-layer2-1,171.53
bt,64,balance-rr-4NICs-layer2-1,170.54
bt,64,balance-rr-4NICs-layer2-1,170.95
bt,64,balance-rr-4NICs-layer2-1,170.08
bt,64,balance-rr-4NICs-layer2-1,173.2
bt,64,balance-rr-4NICs-layer2-1,170.37
bt,64,balance-rr-4NICs-layer2-1,171.87
