apps,process,bondmode,time
bt,64,balance-rr-4NICs-layer2-1,171.62
bt,64,balance-rr-4NICs-layer2-1,173.62
bt,64,balance-rr-4NICs-layer2-1,172.13
bt,64,balance-rr-4NICs-layer2-1,171
bt,64,balance-rr-4NICs-layer2-1,171.05
bt,64,balance-rr-4NICs-layer2-1,170.98
bt,64,balance-rr-4NICs-layer2-1,172.17
bt,64,balance-rr-4NICs-layer2-1,171.38
bt,64,balance-rr-4NICs-layer2-1,173.53
bt,64,balance-rr-4NICs-layer2-1,170.46
bt,64,balance-rr-4NICs-layer2-1,171.62
bt,64,balance-rr-4NICs-layer2-1,170.43
bt,64,balance-rr-4NICs-layer2-1,171.97
bt,64,balance-rr-4NICs-layer2-1,173.2
bt,64,balance-rr-4NICs-layer2-1,171.6
bt,64,balance-rr-4NICs-layer2-1,171.03
bt,64,balance-rr-4NICs-layer2-1,171.69
bt,64,balance-rr-4NICs-layer2-1,172.71
bt,64,balance-rr-4NICs-layer2-1,171.4
bt,64,balance-rr-4NICs-layer2-1,170.46
bt,64,balance-rr-4NICs-layer2-1,173.09
bt,64,balance-rr-4NICs-layer2-1,171.81
bt,64,balance-rr-4NICs-layer2-1,170.5
bt,64,balance-rr-4NICs-layer2-1,171.95
bt,64,balance-rr-4NICs-layer2-1,173.26
bt,64,balance-rr-4NICs-layer2-1,173.01
bt,64,balance-rr-4NICs-layer2-1,172.26
bt,64,balance-rr-4NICs-layer2-1,170.1
bt,64,balance-rr-4NICs-layer2-1,170.66
bt,64,balance-rr-4NICs-layer2-1,170
