apps,process,bondmode,time
sp,64,balance-rr-4NICs-layer2-1,279.76
sp,64,balance-rr-4NICs-layer2-1,281.77
sp,64,balance-rr-4NICs-layer2-1,274.16
sp,64,balance-rr-4NICs-layer2-1,283.73
sp,64,balance-rr-4NICs-layer2-1,273.78
sp,64,balance-rr-4NICs-layer2-1,279.14
sp,64,balance-rr-4NICs-layer2-1,285.42
sp,64,balance-rr-4NICs-layer2-1,279.22
sp,64,balance-rr-4NICs-layer2-1,283.22
sp,64,balance-rr-4NICs-layer2-1,281.65
sp,64,balance-rr-4NICs-layer2-1,270.52
sp,64,balance-rr-4NICs-layer2-1,280.72
sp,64,balance-rr-4NICs-layer2-1,278.52
sp,64,balance-rr-4NICs-layer2-1,276.8
sp,64,balance-rr-4NICs-layer2-1,274.48
sp,64,balance-rr-4NICs-layer2-1,271.06
sp,64,balance-rr-4NICs-layer2-1,284.37
sp,64,balance-rr-4NICs-layer2-1,274.39
sp,64,balance-rr-4NICs-layer2-1,276.55
sp,64,balance-rr-4NICs-layer2-1,282.34
sp,64,balance-rr-4NICs-layer2-1,268.51
sp,64,balance-rr-4NICs-layer2-1,276.19
sp,64,balance-rr-4NICs-layer2-1,274.09
sp,64,balance-rr-4NICs-layer2-1,273.74
sp,64,balance-rr-4NICs-layer2-1,268.35
sp,64,balance-rr-4NICs-layer2-1,271.29
sp,64,balance-rr-4NICs-layer2-1,274.56
sp,64,balance-rr-4NICs-layer2-1,277.48
sp,64,balance-rr-4NICs-layer2-1,271.51
