apps,process,bondmode,time
is,16,balance-rr-4NICs-layer2-2,13.88
is,16,balance-rr-4NICs-layer2-2,13.98
is,16,balance-rr-4NICs-layer2-2,14
is,16,balance-rr-4NICs-layer2-2,14.47
is,16,balance-rr-4NICs-layer2-2,13.72
is,16,balance-rr-4NICs-layer2-2,13.74
is,16,balance-rr-4NICs-layer2-2,14.03
is,16,balance-rr-4NICs-layer2-2,14.42
is,16,balance-rr-4NICs-layer2-2,14.12
is,16,balance-rr-4NICs-layer2-2,14.22
ft,16,balance-rr-4NICs-layer2-2,154.23
ft,16,balance-rr-4NICs-layer2-2,154.9
ft,16,balance-rr-4NICs-layer2-2,157.07
ft,16,balance-rr-4NICs-layer2-2,157.33
ft,16,balance-rr-4NICs-layer2-2,155.73
ft,16,balance-rr-4NICs-layer2-2,156.29
ft,16,balance-rr-4NICs-layer2-2,156.32
ft,16,balance-rr-4NICs-layer2-2,156.93
ft,16,balance-rr-4NICs-layer2-2,154.2
ft,16,balance-rr-4NICs-layer2-2,155.44
is,16,balance-rr-4NICs-layer2-2,13.73
is,16,balance-rr-4NICs-layer2-2,14.1
is,16,balance-rr-4NICs-layer2-2,14.51
is,16,balance-rr-4NICs-layer2-2,13.95
is,16,balance-rr-4NICs-layer2-2,13.83
is,16,balance-rr-4NICs-layer2-2,13.91
is,16,balance-rr-4NICs-layer2-2,14.32
is,16,balance-rr-4NICs-layer2-2,13.91
is,16,balance-rr-4NICs-layer2-2,14
is,16,balance-rr-4NICs-layer2-2,14.45
ft,16,balance-rr-4NICs-layer2-2,151.36
ft,16,balance-rr-4NICs-layer2-2,152.76
ft,16,balance-rr-4NICs-layer2-2,152.3
ft,16,balance-rr-4NICs-layer2-2,152.44
ft,16,balance-rr-4NICs-layer2-2,152.54
ft,16,balance-rr-4NICs-layer2-2,152.11
ft,16,balance-rr-4NICs-layer2-2,152.01
ft,16,balance-rr-4NICs-layer2-2,150.73
ft,16,balance-rr-4NICs-layer2-2,151.54
ft,16,balance-rr-4NICs-layer2-2,152.23
bt,16,balance-rr-4NICs-layer2-2,326.52
bt,16,balance-rr-4NICs-layer2-2,327.53
bt,16,balance-rr-4NICs-layer2-2,327.05
bt,16,balance-rr-4NICs-layer2-2,326.98
bt,16,balance-rr-4NICs-layer2-2,328.56
bt,16,balance-rr-4NICs-layer2-2,326.54
bt,16,balance-rr-4NICs-layer2-2,326.5
bt,16,balance-rr-4NICs-layer2-2,327.45
bt,16,balance-rr-4NICs-layer2-2,326.56
bt,16,balance-rr-4NICs-layer2-2,327.35
sp,16,balance-rr-4NICs-layer2-2,312.8
sp,16,balance-rr-4NICs-layer2-2,316.87
sp,16,balance-rr-4NICs-layer2-2,314.03
sp,16,balance-rr-4NICs-layer2-2,315.86
sp,16,balance-rr-4NICs-layer2-2,315.13
sp,16,balance-rr-4NICs-layer2-2,320.53
sp,16,balance-rr-4NICs-layer2-2,317.45
sp,16,balance-rr-4NICs-layer2-2,312.49
sp,16,balance-rr-4NICs-layer2-2,317.79
sp,16,balance-rr-4NICs-layer2-2,314.31
bt,16,balance-rr-4NICs-layer2-2,333.45
bt,16,balance-rr-4NICs-layer2-2,331.67
bt,16,balance-rr-4NICs-layer2-2,
bt,16,balance-rr-4NICs-layer2-2,333.65
bt,16,balance-rr-4NICs-layer2-2,331.71
bt,16,balance-rr-4NICs-layer2-2,333.81
bt,16,balance-rr-4NICs-layer2-2,332.52
bt,16,balance-rr-4NICs-layer2-2,332.16
bt,16,balance-rr-4NICs-layer2-2,333.26
bt,16,balance-rr-4NICs-layer2-2,331.5
sp,16,balance-rr-4NICs-layer2-2,331.13
sp,16,balance-rr-4NICs-layer2-2,329.84
sp,16,balance-rr-4NICs-layer2-2,327.71
sp,16,balance-rr-4NICs-layer2-2,328.25
sp,16,balance-rr-4NICs-layer2-2,328.79
sp,16,balance-rr-4NICs-layer2-2,328.88
sp,16,balance-rr-4NICs-layer2-2,326.91
sp,16,balance-rr-4NICs-layer2-2,326.97
sp,16,balance-rr-4NICs-layer2-2,328.57
sp,16,balance-rr-4NICs-layer2-2,330.32
bt,16,balance-rr-4NICs-layer2-2,325.33
bt,16,balance-rr-4NICs-layer2-2,326.07
bt,16,balance-rr-4NICs-layer2-2,326.59
bt,16,balance-rr-4NICs-layer2-2,325.77
bt,16,balance-rr-4NICs-layer2-2,326.21
bt,16,balance-rr-4NICs-layer2-2,327.83
bt,16,balance-rr-4NICs-layer2-2,325.47
bt,16,balance-rr-4NICs-layer2-2,325.82
bt,16,balance-rr-4NICs-layer2-2,326.19
